SecurityCode,StockName
030130,大同永豐3B購02
030131,大同永豐41購01
030132,嘉晶永豐3B購01
030133,奇鋐永豐3A購08
030134,緯創永豐41購03
030135,辛耘永豐41購02
030136,上緯控永豐3A購01
030137,同欣電永豐3B購01
030138,達發永豐3A購01
030139,臺股指永豐3A購07
03013P,臺股指法興3C售05
03013X,元展13
030140,臺股指永豐3A購08
030141,華新統一44購01
030142,華新統一44購02
030143,中華統一44購01
030144,長榮鋼統一47購01
030145,鴻海統一54購02
030146,廣宇統一47購01
030147,海悅統一44購02
030148,海悅統一44購03
030149,海悅統一47購01
03014P,臺股指法興3C售06
03014X,元展14
030150,大同統一4A購02
030151,聯發科統一54購01
030152,志聖統一43購01
030153,志聖統一47購02
030154,陽明統一44購02
030155,神基統一44購02
030156,嘉晶統一49購01
030157,創意統一44購04
030158,群創統一44購01
030159,嘉澤統一44購04
03015P,臺股指法興3C售07
03015X,元展15
030160,辛耘統一44購03
030161,辛耘統一47購02
030162,碩天統一44購02
030163,崇越統一44購01
030164,崇越統一47購01
030165,聯茂統一44購04
030166,聯茂統一46購01
030167,至上統一44購03
030168,元債2X元富4A購03
030169,華新元富3A購01
03016P,臺股指法興3C售08
03016X,元展16
030170,華新元富3A購02
030171,華榮元富3A購04
030172,大亞元富44購01
030173,宏泰元富3A購02
030174,合機元富42購01
030175,美時元富3A購02
030176,美時元富3A購03
030177,台積電元富3B購08
030178,台積電元富3C購09
030179,台積電元富3C購10
03017P,臺股指法興3C售09
03017X,元展17
030180,台積電元富44購05
030181,台光電元富3A購08
030182,聯發科元富44購06
030183,聯發科元富44購07
030184,漢翔元富3B購01
030185,牧德元富3A購03
030186,崇越元富3A購01
030187,崇越元富3A購02
030188,同欣電元富3B購01
030189,南電元富3A購02
03018P,臺股指法興3C售10
030190,T50正2凱基3A購03
030191,聚陽凱基3A購01
030192,東元凱基3A購05
030193,華電凱基42購01
030194,華新凱基3C購01
030195,華榮凱基3A購05
030196,華榮凱基3B購02
030197,華榮凱基42購01
030198,大亞凱基41購01
030199,大亞凱基44購02
03019P,臺股指群益3C售25
03019X,元展19
030200,宏泰凱基3B購01
030201,宏泰凱基3B購02
030202,大山凱基3A購02
030203,合機凱基41購01
030204,美時凱基3A購05
030205,光寶科凱基3A購08
030206,台達電凱基3A購11
030207,華通凱基42購01
030208,海悅凱基3B購01
030209,大同凱基44購01
03020P,臺股指群益3C售26
03020X,元展20
030210,大同凱基44購02
030211,大同凱基44購03
030212,台光電凱基3A購10
030213,國產凱基3C購01
030214,漢翔凱基42購01
030215,慧洋凱基3B購02
030216,大立光凱基3B購07
030217,嘉晶凱基3A購04
030218,奇鋐凱基3B購05
030219,緯創凱基3A購13
03021P,臺股指群益3C售27
030220,創意凱基3A購16
030221,辛耘凱基3A購05
030222,辛耘凱基3C購04
030223,洋華凱基3A購04
030224,材料凱基3A購05
030225,聯德凱基3A購02
030226,天鈺凱基3B購03
030227,崇越凱基3A購02
030228,崇越凱基3A購03
030229,聯茂凱基3A購05
03022P,臺股指群益3C售28
03022X,富展01
030230,樺漢凱基3B購03
030231,達發凱基3A購03
030232,世紀鋼凱基3A購07
030233,臺股指凱基3A購68
030234,臺股指凱基3A購69
030235,臺股指凱基3A購70
030236,臺股指凱基3C購22
030237,臺股指凱基3C購23
030238,臺股指凱基41購18
030239,臺股指凱基41購19
03023P,臺股指群益3C售29
030240,勤美國票3B購01
030241,中宇國票3B購01
030242,華榮國票3B購02
030243,合機國票42購01
030244,三陽國票3B購01
030245,長榮鋼國票44購01
030246,楠梓電國票3B購02
030247,鴻海國票3B購03
030248,精英國票3B購01
030249,大同國票3C購03
03024P,臺股指群益3C售30
030250,台光電國票3B購01
030251,威盛國票42購01
030252,飛宏國票3A購02
030253,冠德國票3B購01
030254,漢翔國票3B購03
030255,台新金國票3A購01
030256,華立國票3A購02
030257,富華新國票3B購02
030258,緯創國票3B購01
030259,京鼎國票3B購01
03025P,臺股指群益3C售31
030260,崇越國票3C購01
030261,成霖國票3B購01
030262,上証2X群益3A購02
030263,中宇群益42購01
030264,華新群益42購01
030265,大亞群益44購02
030266,宏泰群益3C購01
030267,大山群益43購01
030268,合機群益44購01
030269,合機群益44購02
03026P,臺股指群益3C售32
03026X,元展23
030270,長榮鋼群益3C購01
030271,鴻海群益3B購12
030272,鴻海群益3B購13
030273,台積電群益44購02
030274,台積電群益44購03
030275,台積電群益44購04
030276,精英群益3A購02
030277,海悅群益43購01
030278,大同群益3B購02
030279,大同群益44購01
03027P,電子類群益3C售10
03027X,元展24
030280,威盛群益3A購02
030281,南亞科群益44購01
030282,偉詮電群益3A購01
030283,裕民群益44購01
030284,漢翔群益44購01
030285,元大金群益44購01
030286,永豐金群益44購01
030287,嘉晶群益3C購01
030288,弘憶股群益3A購02
030289,辛耘群益3B購06
03028P,電子類群益3C售11
03028X,元展25
030290,上緯控群益44購01
030291,立積群益44購01
030292,彩晶群益3B購02
030293,同欣電群益3A購02
030294,矽力群益46購01
030295,保瑞群益3A購05
030296,達發群益3A購04
030297,愛普群益3A購08
030298,力智群益44購01
030299,力智群益44購02
03029P,電子類群益3C售12
03029X,元展26
030300,天虹群益42購01
030301,昇陽半群益3C購01
030302,華東群益3C購02
030303,台灣50元大3B購03
030304,台灣50元大3B購04
030305,台灣50元大3B購05
030306,T50反1元大44購01
030307,滬深2X元大3A購09
030308,滬深2X元大3C購03
030309,群高息元大3A購03
03030P,台灣50中信42售02
030310,東元元大3A購06
030311,東元元大41購01
030312,華新元大3A購12
030313,大亞元大3A購11
030314,宏泰元大3A購04
030315,大山元大3A購02
030316,合機元大41購02
030317,美時元大3A購14
030318,美時元大3A購15
030319,美時元大3A購16
03031P,臺股指中信3C售10
030320,裕隆元大3A購02
030321,裕隆元大3A購03
030322,鴻海元大3A購32
030323,鴻海元大3A購33
030324,鴻海元大3A購34
030325,國巨元大3A購16
030326,國巨元大3A購17
030327,台積電元大3A購35
030328,台積電元大3A購36
030329,台積電元大3A購37
03032P,台灣50富邦43售07
030330,華邦電元大3B購02
030331,海悅元大3A購02
030332,宏碁元大3B購01
030333,華碩元大3A購04
030334,華碩元大3A購05
030335,華碩元大3C購01
030336,大同元大3A購17
030337,大同元大3A購18
030338,大同元大3A購19
030339,億光元大3A購04
03033P,鴻海富邦3C售10
030340,南亞科元大3A購06
030341,南亞科元大3A購07
030342,鉅祥元大3B購01
030343,華立元大3A購04
030344,蔚華科元大3A購02
030345,創意元大3A購09
030346,創意元大3A購10
030347,創意元大3A購11
030348,辛耘元大3A購09
030349,辛耘元大3A購10
03034P,滬深2X凱基41售04
030350,辛耘元大3A購11
030351,瑞智元大3A購02
030352,崇越元大3A購04
030353,帆宣元大3A購04
030354,矽力元大3B購01
030355,保瑞元大3A購11
030356,保瑞元大3A購12
030357,保瑞元大3A購13
030358,晶碩元大3A購02
030359,嘉基元大3B購01
03035P,台積電凱基41售25
03035X,元展32
030360,力智元大3A購03
030361,華東元大3A購03
030362,至上元大3A購09
030363,勤誠元大3A購07
030364,電子類元大3A購10
030365,電子類元大3A購11
030366,電子類元大3C購03
030367,群高息富邦3C購02
030368,大亞富邦44購01
030369,大同富邦44購01
03036P,台積電凱基41售26
030370,華新兆豐3B購02
030371,大同兆豐3A購02
030372,牧德兆豐3C購02
030373,辛耘兆豐44購02
030374,聯發科國泰3C購04
030375,志聖國泰3C購01
030376,大立光國泰3C購02
030377,華立國泰3C購01
030378,辛耘國泰3C購02
030379,康舒國泰3C購02
03037P,台積電凱基42售11
030380,緯穎國泰3C購03
030381,中石化國票3B購01
030382,和大國票3B購02
030383,華新國票3A購01
030384,華新國票3A購02
030385,華新國票3B購01
030386,大亞國票3B購02
030387,大山國票3A購02
030388,大山國票3C購01
030389,正崴國票3B購01
03038P,臺股指凱基3C售44
03038X,元展35
030390,億光國票3A購01
030391,國產國票3A購01
030392,冠德國票3B購02
030393,華固國票41購01
030394,亞航國票3A購01
030395,亞航國票3B購01
030396,亞航國票3C購01
030397,奇鋐國票3B購04
030398,玉晶光國票3B購01
030399,新唐國票48購01
03039P,臺股指凱基3C售45
03039X,元展36
030400,帆宣國票42購01
030401,盛群國票3B購01
030402,上証2X中信3A購01
030403,滬深2X中信3A購01
030404,S&P500中信3A購01
030405,華新中信3B購01
030406,長榮鋼中信3A購01
030407,台積電中信3B購06
030408,飛宏中信3A購01
030409,國產中信3A購01
03040P,臺股指凱基3C售46
030410,勤誠中信3C購01
030411,台汽電中信3A購01
030412,滬深2X永豐3A購06
030413,滬深2X永豐3B購03
030414,大亞永豐3A購04
030415,美時永豐3A購04
030416,川湖永豐3C購06
030417,鴻海永豐3C購06
030418,鴻海永豐41購04
030419,台積電永豐3A購07
03041P,台灣50台新3C售02
030420,智邦永豐3B購01
030421,海悅永豐3A購02
030422,金像電永豐3A購02
030423,一詮永豐3B購02
030424,國產永豐3A購03
030425,冠德永豐3A購01
030426,華固永豐3B購01
030427,奇鋐永豐3A購09
030428,奇鋐永豐44購02
030429,瑞智永豐3A購02
03042P,世芯群益3C售05
030430,盛群永豐3C購01
030431,大亞台新3A購02
030432,奇鋐台新3A購02
030433,華新統一44購03
030434,華新統一44購04
030435,中華統一44購02
030436,台達電統一46購02
030437,鴻海統一46購14
030438,鴻海統一48購03
030439,台積電統一54購01
03043P,中砂國票41售02
030440,智邦統一44購01
030441,海悅統一48購01
