SecurityCode,IndustryCode,CompanyName,SpecialShares,NormalShares,PrivateShares
1789,22,台灣神隆股份有限公司,0,790739222,0
1795,22,美時化學製藥股份有限公司,0,266873812,0
1802,08,台灣玻璃工業股份有限公司,0,2908060800,0
1805,14,寶徠建設股份有限公司,0,134970455,0
1806,08,冠軍建材股份有限公司,0,390403870,0
1808,14,潤隆建設股份有限公司,0,893031743,0
1809,08,中國製釉股份有限公司,0,167041937,0
1810,08,和成欣業股份有限公司,0,302303719,0
1817,08,凱撒衛浴股份有限公司,0,72600000,0
1903,09,士林紙業股份有限公司,0,260039121,0
1904,09,正隆股份有限公司,0,1108274522,0
1905,09,中華紙漿股份有限公司,0,1102835316,0
1906,09,寶隆國際股份有限公司,0,151000000,0
1907,09,永豐餘投資控股股份有限公司,0,1660371495,0
1909,09,榮成紙業股份有限公司,0,1327685727,0
2002,10,中國鋼鐵股份有限公司,38267999,15734860997,0
2006,10,東和鋼鐵企業股份有限公司,0,730213818,0
2007,10,燁興企業股份有限公司,0,530651613,361185683
2008,10,高興昌鋼鐵股份有限公司,0,190852293,0
2009,10,第一伸銅科技股份有限公司,0,359622165,0
2010,10,春源鋼鐵工業股份有限公司,0,647655390,0
2012,10,春雨工廠股份有限公司,0,302162700,0
2013,10,中國鋼鐵結構股份有限公司,0,200000000,0
2014,10,中鴻鋼鐵股份有限公司,0,1435544446,0
2015,10,豐興鋼鐵股份有限公司,0,581599424,0
2017,10,官田鋼鐵股份有限公司,0,446874691,0
2020,10,美亞鋼管廠股份有限公司,0,267031320,0
2022,10,聚亨企業股份有限公司,0,337168138,0
2023,10,燁輝企業股份有限公司,0,1891240214,0
2024,10,志聯工業股份有限公司,0,97500000,0
2025,10,千興不銹鋼(股)公司,0,172660536,0
2027,10,大成不銹鋼工業股份有限公司,0,2584260615,0
2028,10,威致鋼鐵工業股份有限公司,0,325714800,0
2029,10,盛餘股份有限公司,0,321180000,0
2030,10,彰源企業股份有限公司,0,280526027,0
2031,10,新光鋼鐵股份有限公司,0,321146341,0
2032,10,新鋼工業股份有限公司,0,130521545,0
2033,10,佳大世界股份有限公司,0,80694536,0
2034,10,允強實業股份有限公司,0,523552854,0
2038,10,海光企業股份有限公司,0,194134303,0
2049,05,上銀科技股份有限公司,0,353792240,0
2059,28,川湖科技股份有限公司,0,95297072,0
2062,38,橋椿金屬股份有限公司,0,199994152,0
2069,10,運錩鋼鐵股份有限公司,0,166386836,0
2101,11,南港輪胎股份有限公司,0,733934904,0
2102,11,泰豐輪胎股份有限公司,0,473329207,0
2103,11,台橡股份有限公司,0,825709978,0
2104,11,國際中橡投資控股股份有限公司,0,984733625,0
2105,11,正新橡膠工業股份有限公司,0,3241415536,0
2106,11,建大工業股份有限公司,0,954890000,0
2107,11,厚生股份有限公司,0,303593400,0
2108,11,南帝化學工業股份有限公司,0,492416659,0
2109,11,華豐橡膠工業股份有限公司,0,279349134,0
2114,11,鑫永銓股份有限公司,0,77991707,0
2115,12,六暉控股股份有限公司,0,104373163,0
2201,12,裕隆汽車製造股份有限公司,0,1070001251,0
2204,12,中華汽車工業股份有限公司,0,553620342,0
2206,12,三陽工業股份有限公司,0,783675604,0
2207,12,和泰汽車股份有限公司,0,557102768,0
2208,15,台灣國際造船股份有限公司,0,1274539449,176024881
2211,10,長榮鋼鐵股份有限公司,0,417091463,0
2227,12,裕隆日產汽車股份有限公司,0,300000000,0
2228,12,劍麟股份有限公司,0,79779692,0
2231,12,為升電裝工業股份有限公司,0,135917608,0
2233,12,宇隆科技股份有限公司,0,60288089,0
2236,12,百達精密工業股份有限公司,0,61401689,0
2239,12,開曼英利工業股份有限公司,0,120346593,0
2241,12,艾姆勒科技股份有限公司,0,104602306,0
2243,12,宏旭控股股份有限公司,0,69373596,0
2247,12,汎德永業汽車股份有限公司,0,80708735,0
2250,12,第一化成控股(開曼)股份有限公司,0,36388226,0
2254,12,巨鎧精密工業股份有限公司,0,63907680,0
2258,12,鴻華先進科技股份有限公司,0,1748256200,0
2301,25,光寶科技股份有限公司,0,2316775763,0
2302,24,麗正國際科技股份有限公司,0,166302881,0
2303,24,聯華電子股份有限公司,0,12588156344,0
2305,25,全友電腦股份有限公司,0,205660827,0
2308,28,台達電子工業股份有限公司,0,2597543329,0
2312,31,金寶電子工業股份有限公司,0,1505457211,0
2313,28,華通電腦股份有限公司,0,1191820589,0
2314,27,台揚科技股份有限公司,0,106126422,0
2316,28,楠梓電子股份有限公司,0,182740536,0
2317,31,鴻海精密工業股份有限公司,0,13964222294,0
2321,27,東訊股份有限公司,0,30271929,16000001
2323,26,中環股份有限公司,0,1089348328,0
2324,25,仁寶電腦工業股份有限公司,0,4407146625,0
2327,28,國巨股份有限公司,0,2072965820,0
2328,28,廣宇科技股份有限公司,0,518346282,0
2329,24,華泰電子股份有限公司,0,659004333,99000000
2330,24,台灣積體電路製造股份有限公司,0,25932524521,0
2331,25,精英電腦股份有限公司,0,557402968,0
2332,27,友訊科技股份有限公司,0,602242373,0
2337,24,旺宏電子股份有限公司,0,1931082818,55651
2338,24,台灣光罩股份有限公司,0,316849183,63370000
2340,24,台亞半導體股份有限公司,0,438622846,60000000
2342,24,台灣茂矽電子股份有限公司,0,157524744,0
2344,24,華邦電子股份有限公司,0,4500000193,0
2345,27,智邦科技股份有限公司,0,561117897,0
2347,29,聯強國際股份有限公司,0,1667946968,0
2348,20,海悅國際開發股份有限公司,30000000,151898853,0
2349,26,錸德科技股份有限公司,0,693679663,0
2351,24,順德工業股份有限公司,0,182140249,0
2352,25,佳世達科技股份有限公司,0,1580506505,0
2353,25,宏碁股份有限公司,0,3047853828,0
2354,31,鴻準精密工業股份有限公司,0,1414485192,0
2355,28,敬鵬工業股份有限公司,0,397495420,0
2356,25,英業達股份有限公司,0,3587475066,0
2357,25,華碩電腦股份有限公司,0,742760280,0
2359,31,所羅門股份有限公司,0,171471052,0
2360,31,致茂電子股份有限公司,0,425261742,0
2362,25,藍天電腦股份有限公司,0,622263000,0
2363,24,矽統科技股份有限公司,0,514988161,0
2364,25,倫飛電腦實業股份有限公司,1062,52388648,0
2365,25,昆盈企業股份有限公司,0,221528496,0
2367,28,燿華電子股份有限公司,0,706253175,0
2368,28,金像電子(股)公司,0,510529876,0
2369,24,菱生精密工業股份有限公司,0,380102344,0
2371,05,大同股份有限公司,0,2150834851,0
2373,31,震旦行股份有限公司,0,236202518,0
2374,26,佳能企業股份有限公司,0,324579133,0
2375,28,凱美電機股份有限公司,0,108675334,0
2376,25,技嘉科技股份有限公司,0,669888886,0
2377,25,微星科技股份有限公司,0,844856199,0
2379,24,瑞昱半導體股份有限公司,0,515512641,0
2380,25,虹光精密工業股份有限公司,0,216934084,34490000
2382,25,廣達電腦股份有限公司,0,3862627432,0
2383,28,台光電子材料股份有限公司,0,358321114,0
2385,28,群光電子股份有限公司,0,760053172,0
2387,25,精元電腦股份有限公司,0,195251051,0
2388,24,威盛電子股份有限公司,0,555674941,0
2390,31,云辰電子開發股份有限公司,0,192619442,0
2392,28,正崴精密工業股份有限公司,0,512326940,0
2393,26,億光電子工業股份有限公司,0,443393086,0
2395,25,研華股份有限公司,0,865189791,0
2397,25,友通資訊股份有限公司,0,114488857,0
2399,25,映泰股份有限公司,0,178100000,0
2401,24,凌陽科技股份有限公司,0,591994919,0
2402,28,毅嘉科技股份有限公司,0,307536533,0
2404,31,漢唐集成股份有限公司,0,190586698,0
2405,25,輔信科技股份有限公司,0,343427303,0
2406,26,國碩科技工業股份有限公司,0,350905689,0
2408,24,南亞科技股份有限公司,0,3098627894,0
2409,26,友達光電股份有限公司,0,7547098972,0
2412,27,中華電信股份有限公司,0,7757446545,0
2413,28,環隆科技股份有限公司,0,127359200,0
2414,29,精技電腦股份有限公司,0,161735846,0
2415,28,錩新科技股份有限公司,0,90000000,0
2417,25,圓剛科技股份有限公司,0,157293864,0
2419,27,仲琦科技股份有限公司,0,321317229,0
2420,28,新巨企業股份有限公司,0,152648688,0
2421,28,建準電機工業股份有限公司,0,273443669,0
2423,31,固緯電子實業股份有限公司,0,145047289,0
2424,27,隴華電子股份有限公司,0,59585000,41585000
2425,25,承啟科技股份有限公司,0,96498831,0
2426,26,鼎元光電科技股份有限公司,0,300622252,0
2427,30,三商電腦股份有限公司,0,197999573,0
2428,28,興勤電子工業股份有限公司,0,128112726,0
2429,26,銘旺科技股份有限公司,0,85500000,33197208
2430,29,燦坤實業股份有限公司,0,116800000,0
2431,28,聯昌電子企業股份有限公司,0,110927014,0
2432,25,倚天酷碁股份有限公司,0,61860000,0
2433,31,互盛股份有限公司,0,144496011,0
2434,24,統懋半導體股份有限公司,0,37000000,27489119
2436,24,偉詮電子股份有限公司,0,199928074,0
2438,26,翔耀實業股份有限公司,0,65195641,34971322
2439,27,美律實業股份有限公司,0,253839614,0
2440,28,太空梭高傳真資訊科技(股)公司,0,139117271,35452938
2441,24,超豐電子股份有限公司,0,568845921,0
2442,14,新美齊股份有限公司,0,274626554,8778889
2444,27,兆勁科技股份有限公司,0,101569573,16142913
2449,24,京元電子股份有限公司,0,1222745065,0
2450,27,神腦國際企業股份有限公司,0,258252657,0
2451,24,創見資訊股份有限公司,0,430701675,0
2453,30,凌群電腦股份有限公司,0,100000000,0
2454,24,聯發科技股份有限公司,0,1603912182,0
2455,27,全新光電科技股份有限公司,0,184905918,0
2457,28,飛宏科技股份有限公司,0,424772416,0
2458,24,義隆電子股份有限公司,0,303880392,0
2459,31,敦吉科技股份有限公司,0,105595615,0
2460,28,建通精密工業股份有限公司,0,169200000,0
2461,31,光群雷射科技股份有限公司,0,174306938,0
2462,28,台灣良得電子股份有限公司,0,150784482,28840000
2464,31,盟立自動化股份有限公司,0,206451226,0
2465,25,麗臺科技股份有限公司,0,93946031,25000000
2466,26,冠西電子企業股份有限公司,0,173458697,9647731
2467,28,志聖工業股份有限公司,0,156755348,0
2468,30,華經資訊企業股份有限公司,0,69961249,0
2471,30,資通電腦股份有限公司,0,47253890,0
2472,28,立隆電子工業股份有限公司,0,164735137,0
2474,31,可成科技股份有限公司,0,592169068,0
2476,28,鉅祥企業股份有限公司,0,216620884,0
2477,31,美隆工業股份有限公司,0,158573244,0
2478,28,大毅科技股份有限公司,0,144731339,0
2480,30,敦陽科技股份有限公司,0,106360291,0
2481,24,強茂股份有限公司,0,382114927,0
2482,31,連宇股份有限公司,0,77882711,0
2483,28,百容電子股份有限公司,0,107889807,0
2484,28,希華晶體科技股份有限公司,0,159421022,0
2485,27,兆赫電子股份有限公司,0,317689037,0
2486,26,一詮精密工業股份有限公司,0,233958579,0
2488,31,漢平電子工業股份有限公司,0,79999433,0
2489,26,瑞軒科技股份有限公司,0,610000000,0
2491,26,吉祥全球實業股份有限公司,0,82008000,0
2492,28,華新科技股份有限公司,0,485804774,0
2493,28,揚博科技股份有限公司,0,126796629,0
2495,25,普安科技股份有限公司,0,273551538,0
2496,20,卓越成功股份有限公司,0,19100440,0
2497,12,怡利電子工業股份有限公司,0,118087676,0
2498,27,宏達國際電子股份有限公司,0,835962086,0
2501,14,國泰建設股份有限公司,0,1159561059,0
2504,14,國產建材實業股份有限公司,0,1180000000,0
2505,14,國揚實業股份有限公司,0,380000000,0
2506,14,太平洋建設股份有限公司,0,387000000,86499581
2509,14,全坤建設開發股份有限公司,0,224550530,0
2511,14,太子建設開發股份有限公司,0,1623326147,0
2514,20,龍邦國際興業股份有限公司,0,394729278,0
2515,14,中華工程股份有限公司,0,1607904084,0
2516,14,新亞建設開發股份有限公司,0,226278457,0
2520,14,冠德建設股份有限公司,0,609487110,0
2524,14,京城建設股份有限公司,0,365983545,0
2527,14,宏璟建設股份有限公司,0,270306000,0
2528,14,皇普建設股份有限公司,0,434026467,0
2530,14,大華建設股份有限公司,0,839988000,0
2534,14,宏盛建設股份有限公司,0,474227970,0
2535,14,達欣工程股份有限公司,0,270793967,0
2536,14,宏普建設股份有限公司,0,332808652,0
2537,14,聯上開發股份有限公司,0,300557795,0
2538,14,基泰建設股份有限公司,0,445025495,0
2539,14,櫻花建設股份有限公司,0,1193102581,0
2540,14,愛山林建設開發股份有限公司,0,944873965,0
2542,14,興富發建設股份有限公司,0,2173083539,0
2543,14,皇昌營造股份有限公司,0,532383961,0
2545,14,皇翔建設股份有限公司,0,379734808,0
2546,14,根基營造股份有限公司,0,130524193,0
2547,14,日勝生活科技股份有限公司,0,1035094649,0
2548,14,華固建設股份有限公司,0,319718697,0
2597,14,潤弘精密工程事業股份有限公司,0,310716000,0
2601,18,益航股份有限公司,0,824776067,0
2603,15,長榮海運股份有限公司,0,2165042996,0
2605,15,新興航運股份有限公司,0,585353297,0
2606,15,裕民航運股份有限公司,0,845055712,0
2607,15,長榮國際儲運股份有限公司,0,533570547,0
2608,15,嘉里大榮物流股份有限公司,0,467000498,0
2609,15,陽明海運股份有限公司,0,3492104270,0
2610,15,中華航空股份有限公司,0,6083923559,0
2611,15,志信國際股份有限公司,0,189002272,0
2612,15,中國航運股份有限公司,0,197484593,0
2613,15,中國貨櫃運輸股份有限公司,0,148423458,0
2614,20,東森國際股份有限公司,0,327264946,0
2615,15,萬海航運股份有限公司,0,2806146293,0
2616,23,山隆通運股份有限公司,0,137281827,0
