SecurityCode,StockName
009804,聯邦台精彩50    
2421,建準            
069117,穎崴元大48購04  
045972,華航統一48購01  
080253,緯穎元大4C購09  
061864,緯穎群益48購05  
00895,富邦未來車      
064293,智原元大4B購02  
075991,鴻海元大49購06  
077552,喬山元大4A購03  
071921,矽格統一52購01  
081927,微星凱基4B購01  
074106,大量群益4C購01  
080353,聯鈞凱基4B購01  
083975,智易元大4C購02  
074309,智原元富4A購04  
00960,野村全球航運龍頭
062977,華航元大4B購02  
078960,玉晶光群益52購01
069214,台灣50元富48購05
082658,南電元富4C購01  
5469,瀚宇博          
077139,智易元大49購03  
009808,華南永昌優選50  
084148,貿聯元大4C購07  
075417,元日2X元大54購01
075460,亞翔元大49購13  
080326,聯鈞群益4B購01  
068960,神基富邦4A購01  
076057,愛普永豐49購01  
055717,中502X元大47購02
081908,聯鈞元大4B購05  
069673,健策元大48購05  
00664R,國泰臺灣加權反1 
076020,富世達元大49購10
076720,漢翔元大4C購01  
00916,國泰全球品牌50  
2357,華碩            
075570,南亞科元大49購17
067212,玉晶光凱基47購05
057078,萬海元大49購04  
080766,智易國泰4C購01  
08889P,智原元大4B售13  
00939,統一台灣高息動能
062325,川湖元大49購03  
08722P,聯鈞國票4C售02  
6805,富世達          
070919,新日興凱基48購03
068171,富世達統一5A購01
03515U,奇鋐國票51售03  
076012,迎廣元大49購03  
047898,世紀鋼兆豐48購01
039746,臺指反中信46購01
043809,緯創國票47購01  
08939P,智原群益4C售04  
083840,金像電群益4C購05
083518,台泥群益4C購01  
072543,滬深2X凱基51購02
076874,漢翔元大51購02  
049865,皇昌統一51購01  
078208,訊連元大54購01  
07081P,奇鋐元大48售09  
073799,台灣50元富49購11
076447,台灣50元富49購30
080959,貿聯群益4B購04  
06378P,臺股指元富4B售03
069475,長榮元大49購05  
06177P,台積電凱基5C售02
2537,聯上發          
082841,華航元大4C購03  
062890,亞光元富4A購01  
08765P,聯發科元大4B售14
069212,昇陽半統一54購02
080033,立積國票4C購02  
075438,南亞科元大51購01
076002,南亞科元大53購02
083742,洋基國票51購01  
06943P,台積電元大48售22
050306,雷虎統一53購01  
068170,富世達統一54購02
06748P,台光電永豐49售02
081911,佳必琪元大4B購01
067189,達興統一53購03  
075389,新日興群益49購04
00954,中信日本半導體  
076638,鴻海凱基49購15  
069428,國巨群益48購02  
058444,長榮永豐48購01  
046451,德律統一48購01  
08545P,世芯凱基53售01  
047114,文曄統一47購01  
080277,啟碁富邦51購01  
080592,世芯元大52購06  
2601,益航            
077131,漢翔元大53購02  
078207,訊連元大4A購02  
06004P,貿聯國票47售03  
077590,智原元大4B購04  
063695,全新永豐4C購01  
075827,南亞科元大51購03
07210P,台積電元大48售48
06955P,台積電元大48售27
07111P,台積電元大48售44
050507,東陽第一48購01  
072362,台灣50元富48購15
051713,T50反1元大49購01
080799,世芯元大51購15  
2369,菱生            
07310P,台積電元大48售51
082590,健策元大4C購01  
08922P,台積電元大4B售24
03145U,台積電元大4B售29
051414,新日興統一57購01
00653L,富邦印度正2     
079443,智原元大51購07  
07983P,台積電元大49售48
009802,富邦旗艦50      
082464,精成科元大4C購02
082549,飛捷群益55購01  
080908,東陽元富55購01  
081677,長榮元大51購15  
070009,志強永豐4A購01  
075811,鴻海元大49購05  
07331P,台積電元大48售53
8104,錸寶            
061785,世紀鋼國票48購01
009805,新光美國電力基建
08468P,聯發科元大4A售23
070130,亞翔元大51購01  
078106,世芯元大52購03  
074824,世芯元大49購13  
070332,長榮元大48購08  
052871,聯發科永豐47購01
068521,jpp元大48購01   
078012,皇昌凱基4A購06  
063972,華新科富邦48購01
078800,台灣50元富4A購16
00910,第一金太空衛星  
075134,長榮統一47購01  
07535P,華邦電元大49售03
065313,玉山金統一51購01
055055,中信金統一4A購01
061964,宏泰凱基47購01  
068940,達興元大48購02  
052512,士紙統一54購01  
065023,上証2X元大4A購01
04642P,萬海統一47售01  
08090P,台積電元富4A售24
075815,華邦電元大49購22
077599,保瑞元大4A購02  
068683,保瑞永豐4A購01  
047117,新日興統一47購03
031394,帆宣統一48購01  
063940,晟銘電國票46購02
063833,川湖群益46購16  
06988P,聯電國票49售01  
075385,長榮群益49購04  
066972,玉晶光元大47購18
076459,立積元富49購03  
074319,台灣50元大49購17
07394P,大銀國票49售05  
07235P,元債2X元大4C售05
072489,世芯元大51購08  
063910,國巨統一4C購01  
055943,萬海元大47購04  
069523,台玻國票49購01  
08046P,臺股指國票4A售05
080419,采鈺統一55購02  
07835P,智邦元大49售10  
060895,亞翔中信47購01  
6838,台新藥          
3550,聯穎            
083371,新日興凱基4C購01
04163P,臺股指群益48售06
2382,廣達            
082719,達興元大4C購02  
067412,達興統一51購02  
052328,奇鋐統一4C購02  
081823,華擎元大4B購01  
073956,長榮中信49購04  
1447,力鵬            
073625,川湖元大51購03  
079141,漢翔群益4C購01  
061625,川湖元大4B購02  
060152,華城元大48購03  
3653,健策            
3005,神基            
079073,長榮元大53購02  
062885,台光電元富4A購04
061288,長榮永豐4C購01  
00692,富邦公司治理    
4722,國精化          
068631,達興元大48購01  
3535,晶彩科          
072716,中興電元大51購02
07615P,慧洋群益4B售03  
075454,創意元大49購07  
078956,華航群益52購01  
07464P,萬海國票4A售01  
068962,智原富邦4A購01  
077156,神基富邦4A購02  
073389,海華元大49購06  
07444P,T50正2元大51售03
076228,富世達元大49購11
040576,鴻海統一56購02  
03560U,台積電元富4C售11
070493,長榮統一52購02  
07984P,台積電元大49售49
03153U,台光電中信4B售01
075456,世芯元大49購15  
064621,嘉晶凱基49購01  
079723,台灣50元富54購04
082949,達興群益4C購02  
077469,嘉澤群益4A購03  
048372,SGBR2X元富48購01
056981,世芯元富48購06  
075158,華邦電凱基51購01
078206,訊連元大4A購01  
6196,帆宣            
05461P,臺股指凱基4B售03
079124,長榮航國票4A購02
07900P,台灣50凱基49售13
064837,佳世達永豐49購01
052734,滬深2X統一48購01
070322,台達電元大48購04
073409,致茂富邦49購01  
00905,FT臺灣Smart     
069668,皇昌元大48購04  
051613,滬深2X元富59購01
081503,T50反1元富4B購04
073578,矽格群益49購01  
00938,凱基優選30      
00708L,期元大S&P黃金正2
2352,佳世達          
077852,華榮元大4A購01  
2429,銘旺科          
072834,東陽凱基49購01  
084262,新日興凱基4C購02
075343,旺宏凱基49購03  
057980,神達群益49購01  
077616,星宇富邦4A購01  
065644,jpp群益48購03   
080803,緯穎元大54購05  
077927,ITH元大4A購01   
060631,穎崴國票48購01  
075571,南亞科元大4C購02
067587,大量國票48購01  
060986,技嘉元富4A購01  
065940,伊雲谷元富51購01
066233,泓德群益48購01  
6141,柏承            
2405,輔信            
07834P,台積電元大49售27
6451,訊芯-KY         
077520,揚明光國票51購01
066652,辛耘統一51購03  
074257,凱基金統一53購01
067233,SGBR2X元富47購05
052263,道瓊銀元富49購02
050851,奇鋐凱基49購02  
6515,穎崴            
2547,日勝生          
00962,台新AI優息動能  
07890P,健策元大49售02  
065463,金像電國票48購01
07985P,聯發科元大49售17
080237,東陽元大4B購03  
083760,勤誠凱基4C購03  
077085,臺股指凱基56購04
3059,華晶科          
00963,中信全球高股息  
078699,玉晶光富邦51購01
083787,迎廣元大4C購01  
082771,智原統一56購02  
08820P,聯詠元大4B售02  
067353,世芯元大51購01  
079569,緯穎元大4A購20  
05143P,T50正2中信47售01
070496,神基統一51購03  
077274,美律元大4A購01  
03384U,智邦元大4C售04  
049855,技嘉統一48購06  
07759P,智邦元大49售06  
07763P,穎崴元大49售02  
052201,上証2X元富49購03
03146U,聯發科元大4B售18
037341,神基統一48購01  
056926,台積電群益4B購01
057113,台積電群益49購06
082397,信錦元富56購01  
082087,富世達永豐4C購02
082100,愛普統一55購02  
045602,創意統一47購05  
079789,東陽元大4A購02  
048080,超眾統一54購01  
04499P,臺股指群益49售07
064740,緯穎群益49購01  
074969,上銀元大49購09  
070319,大成鋼元大4A購01
07031P,精銳群益49售01  
069061,創意凱基4A購02  
069315,世芯國票49購05  
071895,中興電統一58購01
071729,信邦統一52購01  
071448,華泰統一51購02  
074583,慧洋元大4A購02  
08511P,欣興國票4B售04  
084096,鴻海統一49購02  
073154,美律元大49購03  
00690,兆豐藍籌30      
6691,洋基工程        
070597,宏致元大48購02  
03649U,洋基國票51售02  
07986P,聯發科元大49售18
5608,四維航          
077167,雲豹永豐51購01  
047119,世芯統一48購04  
08146P,保瑞元富4A售04  
03187U,智邦元大4B售04  
073041,滬深2X凱基51購04
076019,緯穎元大4C購06  
00944,野村趨勢動能高息
04773P,臺股指元大49售06
073549,川湖群益49購02  
069730,川湖富邦49購02  
059337,元日2X元大49購01
079329,智原元大51購06  
080980,富世達統一55購01
081845,奇鋐群益51購02  
080027,川湖富邦4B購02  
067049,神達永豐47購04  
083844,京鼎群益4C購01  
070205,晟銘電中信48購01
06880P,聯發科元大47售25
081369,龍德船統一55購03
081239,聯發科元大51購19
081914,采鈺元大4B購02  
051936,萬海統一49購03  
07864P,瑞昱元大49售02  
078502,世芯元大54購01  
072522,裕民群益48購04  
067639,來億統一51購02  
05769P,臺股指國票47售04
060214,華城凱基48購02  
061070,緯穎統一4B購02  
077141,智易元大49購05  
072496,精成科元大48購06
4960,誠美材          
076853,鴻海元大4C購04  
077858,鴻海元大4A購16  
07157P,世芯元富49售08  
073664,新日興元大49購06
074587,欣興元大49購12  
074365,欣興元大49購10  
076013,迎廣元大49購04  
076014,迎廣元大49購05  
078668,亞航元富4A購02  
064880,晟銘電群益4B購01
067332,瑞昱元大47購03  
081290,矽力富邦4C購02  
080690,聯鈞凱基4B購04  
065931,世芯元富47購09  
046357,瑞昱兆豐47購01  
075652,洋基群益49購02  
030494,大亞凱基4C購02  
049680,萬海元大49購01  
00643,群益深証中小    
6806,森崴能源        
074843,嘉澤富邦4B購01  
3708,上緯投控        
074159,亞翔元大52購01  
073482,緯穎國票4A購02  
083106,智原群益4C購06  
071833,奇鋐富邦4B購02  
057383,文曄統一4C購01  
081742,漢唐兆豐55購01  
08554P,臺股指中信51售08
8021,尖點            
075468,富世達元大49購07
047336,聯茂元大48購01  
078591,緯穎元大4A購11  
066290,精成科元大51購01
082155,奇鋐元大4B購14  
080457,聯鈞群益51購01  
084315,泓德元大4C購03  
072704,東台國票49購01  
077519,揚明光國票4C購01
3515,華擎            
073945,富世達第一49購01
074488,緯穎元富59購01  
6781,AES-KY          
069044,華城凱基48購03  
059605,華擎統一49購01  
082143,川湖元大4B購07  
080863,光聖凱基4B購03  
065527,精成科統一55購01
08932P,台灣50富邦4C售05
058992,世芯國票48購03  
03675B,臺股指凱基51熊13
057465,元金2X國票49購02
9902,台火            
077273,建準元大4A購01  
082468,穎崴元大54購01  
074784,華城元大51購04  
075428,台積電元大49購23
00881,國泰台灣科技龍頭
069114,亞翔元大48購04  
056005,奇鋐元富4A購03  
048512,台積電統一48購06
074858,智伸科國票4A購01
063489,奇鋐富邦48購02  
2516,新建            
07272P,聯發科元大48售14
082921,健策永豐52購01  
032178,緯穎群益4B購01  
07963P,智邦元大49售15  
066089,道瓊銀凱基48購01
03413U,SGBR2X元大52售01
050869,鴻海元大47購03  
062007,辛耘元富4C購01  
4977,眾達-KY         
069593,新日興統一5A購01
069785,致茂統一52購01  
070091,新日興凱基49購02
1903,士紙            
072345,奇鋐統一52購03  
084146,牧德元大4C購03  
074152,華擎元大49購01  
060209,晶碩國泰48購01  
6658,聯策            
053678,華城元大49購02  
08864P,神達群益52售02  
075221,華城元大51購06  
075255,緯穎元大51購01  
070373,智原凱基4A購03  
047265,華擎統一4C購01  
2301,光寶科          
6191,精成科          
00770,國泰北美科技    
081087,南亞科群益4B購08
076705,華城元大4A購05  
058859,零壹凱基47購01  
082826,八方富邦51購01  
082609,智原群益51購03  
080162,晟銘電統一55購02
047733,穎崴統一58購01  
03278U,啟碁國票51售01  
06507P,台積電元大47售09
040367,台積電統一4C購01
080595,緯穎元大52購02  
058428,長榮統一4B購03  
056404,世紀鋼元大4B購01
082846,嘉澤元大4C購04  
071724,華泰統一52購02  
074433,欣興統一53購01  
072953,中興電元大49購03
077281,漢翔元大4C購05  
069624,致茂凱基4C購01  
073298,廣宇凱基49購02  
1444,力麗            
076496,欣興富邦49購02  
2929,淘帝-KY         
03058U,南亞科凱基51售03
062870,亞光統一54購01  
077133,晟銘電元大49購02
079096,元金2X元富54購03
074436,龍德船統一55購02
072064,亞力富邦4B購01  
07153P,大成鋼元富48售07
07213P,聯發科元大48售13
075390,玉晶光群益53購02
075050,長榮富邦4B購03  
067095,世紀鋼兆豐51購01
046459,瑞智統一48購01  
054806,道瓊銀國票47購01
052774,昇陽半凱基48購01
070275,德律元富49購01  
083547,鴻準元富4C購03  
071778,新日興元大51購01
077152,昇陽半元大4C購01
077902,世芯元大4A購08  
068782,威盛富邦4A購01  
083406,奇鋐富邦52購01  
073383,欣興元大49購04  
076363,華邦電元大49購25
081271,保瑞國票4B購01  
066153,精成科統一51購04
078529,智易群益4A購03  
07847P,富世達國票4A售02
03594U,臺股指元大4C售29
065841,精成科統一51購02
03186U,台積電元大4B售31
1316,上曜            
075007,南電元大49購01  
074821,嘉澤元大4A購03  
07139P,聯發科元大48售11
05768P,臺股指國票47售03
068019,中興電元大47購03
075469,富世達元大49購08
069079,鴻海元大48購15  
073166,海華元大49購02  
073832,華城元大49購15  
078681,鴻海元大4A購28  
079074,陽明元大4A購10  
064566,奇鋐國票49購01  
045967,全新統一48購02  
070553,健策群益52購03  
057941,世芯元大4B購01  
3645,達邁            
075098,玉晶光國票49購04
07207P,新日興群益4A售01
072539,亞翔富邦4B購01  
079562,健策元大4A購02  
076937,晟銘電台新49購01
060084,華邦電國票47購01
1616,億泰            
07544P,川湖統一51售04  
076315,AES統一56購02   
071771,裕民元大48購09  
08583P,京鼎國票4C售01  
086380,元債2X元富49購01
073884,華城群益49購03  
03048U,FB台50凱基4B售02
054580,亞翔統一4A購02  
08149P,T50正2元大4A售08
082463,精成科元大4C購01
057176,志聖凱基4B購01  
03503U,美時元富4C售02  
076883,世芯元大53購01  
06099P,臺股指元大49售16
077848,A50正2元大4A購01
068848,亞翔統一52購01  
081882,聯鈞元富4B購01  
08397P,元金2X元大4B售02
076660,帝寶凱基4A購01  
076092,偉詮電群益49購01
074966,華城元大49購23  
8072,陞泰            
069153,穎崴群益4C購01  
067288,致茂群益49購01  
2376,技嘉            
076704,亞力元大49購04  
073134,華城元大49購06  
073135,華城元大49購07  
073137,華城元大49購09  
073862,欣興元大49購09  
081685,萬海元大4B購12  
055438,台積電群益54購02
080719,緯穎中信4B購03  
080972,奇鋐統一55購02  
065840,精成科統一51購01
046724,世芯統一4C購02  
074332,華城元大52購03  
072955,華城元大49購05  
071442,東陽統一52購01  
083534,迎廣群益4C購01  
046497,金像電元大48購02
03042U,南亞科元大4B售04
065177,華榮凱基49購01  
081164,新日興國票4B購01
080707,嘉澤元大4B購05  
07908P,東陽元富49售03  
070347,亞翔元大48購12  
076513,建準元大49購05  
076867,皇昌元大49購13  
078032,華榮群益4A購01  
066483,世芯元大4A購04  
2208,台船            
2613,中櫃            
05821P,T50正2中信48售01
069735,華晶科富邦49購02
06582P,南電元大47售01  
083509,智原統一56購06  
073207,達興群益4A購01  
082784,保瑞群益4C購04  
1603,華電            
081902,長榮航元大53購03
082160,嘉澤元大4B購08  
077358,元晶群益4A購02  
07744P,創意凱基4A售04  
071221,可成富邦48購02  
071275,富世達凱基48購03
078091,長榮元大4A購07  
077786,訊連國泰4B購01  
061774,道瓊反國票47購01
080932,光聖國票51購01  
065162,瀚宇博群益48購01
079066,台積電元大51購28
043084,台積電凱基57購01
066901,大亞群益4B購01  
4564,元翎            
075117,南亞科中信49購02
08945P,台灣50元大4B售21
072467,亞力元大48購05  
080997,新日興元大4B購06
068985,辛耘兆豐52購01  
069739,辛耘富邦4A購01  
03546U,台積電群益51售08
060495,漢唐國票47購02  
058416,奇鋐富邦47購03  
079013,長榮元富4A購04  
07167P,大成鋼元大48售06
072737,裕民元大4B購01  
076746,世紀鋼元大51購01
07506P,達興國票49售02  
07533P,群高息元大4C售01
07271P,台積電元大48售50
08689P,上銀元富4B售01  
06562P,智邦國泰48售04  
067549,同欣電群益49購01
057305,萬海元大49購05  
078070,鴻海元大4A購19  
066601,jpp國票49購01   
07987P,嘉澤元大49售11  
073490,川湖富邦49購03  
071533,奇鋐元大51購01  
06923P,力積電元大48售02
058937,長榮群益48購02  
076330,世紀鋼元富49購04
08594P,臺股指中信4C售05
08509P,國泰金國票4B售01
082460,嘉澤元大4C購02  
080998,嘉澤元大4B購07  
059874,元債2X群益4B購07
048767,十銓元富52購01  
080516,聚陽永豐4C購01  
071159,華邦電中信48購02
070712,勤誠統一54購01  
06657P,金像電國票48售02
080934,鈺邦國票4B購01  
083270,世芯富邦52購01  
083600,泓德元大4C購02  
066799,文曄國泰48購01  
082448,川湖元大4C購01  
082257,富世達富邦53購01
046165,零壹統一4C購01  
068650,神基統一51購02  
076990,台灣50元富53購01
07998P,晟銘電永豐49售04
081959,聯鈞國票4C購04  
072236,合機元大48購05  
1519,華城            
050285,雷虎元富49購01  
083184,南亞科統一54購01
071035,矽格統一4C購01  
07011P,昇陽半元大48售05
068952,臺股指元大48購20
071033,世芯統一54購01  
071005,大成鋼統一54購01
077361,力智群益4A購01  
083747,台光電凱基4C購05
073967,華邦電國票4A購04
08772P,亞德客國票4B售01
081868,長榮航富邦4C購01
081003,貿聯元大54購02  
081527,合機國票4C購01  
052271,宏達電元富49購01
08008P,南電國票4A售03  
08072P,貿聯群益4A售02  
063086,亞光國票49購01  
03308U,長榮群益4C售03  
079687,和大元大4A購02  
081990,聯鈞富邦4B購01  
073635,順德元大49購02  
2539,櫻花建          
06914P,台積電元大48售17
075878,亞航元富49購01  
1466,聚隆            
081562,萬海元大4B購06  
5243,乙盛-KY         
006205,富邦上証        
2367,燿華            
073036,台達電富邦49購02
079005,亞翔富邦4B購03  
081361,華擎統一52購02  
075039,台表科群益49購01
00700,富邦恒生國企    
03424U,晟銘電國票4C售03
081126,愛普統一57購01  
057090,世芯元大4A購01  
082138,保瑞群益51購03  
058625,世芯永豐48購02  
1218,泰山            
075444,長榮元大4C購01  
075932,中信金凱基49購02
